"Field Name","Actual Value","Expected Value","Match Result"
"customerReferenceNumber","EQ-EQ-804-552-489-R","EQ-EQ-804-552-489-R","✅"
"status","draft","draft","✅"
"applicant.person.title","mr","mr","✅"
"applicant.person.firstName","Duc","Duc","✅"
"applicant.person.lastName","Pham","Pham","✅"
"applicant.person.residentialAddress.streetAddress","60 Saint Aubyns Road","60 Saint Aubyns Road","✅"
"applicant.person.residentialAddress.city","ST AUBYN","ST AUBYN","✅"
"applicant.person.residentialAddress.region.code","QLD","QLD","✅"
"applicant.person.residentialAddress.postalCode","4352","4352","✅"
"applicant.person.residentialAddress.country.code","AU","AU","✅"
"applicant.person.postalAddress.streetAddress","60 Saint Aubyns Road","60 Saint Aubyns Road","✅"
"applicant.person.postalAddress.city","ST AUBYN","ST AUBYN","✅"
"applicant.person.postalAddress.region.code","QLD","QLD","✅"
"applicant.person.postalAddress.postalCode","4352","4352","✅"
"applicant.person.postalAddress.country.code","AU","AU","✅"
"applicant.person.emailAddresses[0].type","work","work","✅"
"applicant.person.emailAddresses[0].value","duc.pham+1302@equix.com.au","duc.pham+1302@equix.com.au","✅"
"applicant.person.emailAddresses[0].isPreferred",true,true,"✅"
"applicant.person.phoneNumbers[0].type","mobile","mobile","✅"
"applicant.person.phoneNumbers[0].value","61412394862","61412394862","✅"
"applicant.person.phoneNumbers[0].isPreferred",true,true,"✅"
"applicant.person.dateOfBirth","1999-11-19","1999-11-19","✅"
"applicant.person.gender","male","male","✅"
"applicant.person.nationalities[0].country","AU","AU","✅"
"applicant.person.nationalities[0].type","citizen","citizen","✅"
"applicant.employment.category","Managers","Managers","✅"
"applicant.employment.type","ICT Managers","ICT Managers","✅"
"applicant.marketingOptedOut",false,false,"✅"
"applicant.identityVerification.status","verified","verified","✅"
"applicant.identityVerification.completionTimestamp","2025-03-10T10:26:07.254Z","2025-03-10T10:26:07.254Z","✅"
"applicant.screeningResults.status","verified","verified","✅"
"applicant.screeningResults.completionTimestamp","2025-03-10T10:26:07.254Z","2025-03-10T10:26:07.254Z","✅"
"applicant.taxDetails[0].country","AU","AU","✅"
"applicant.taxDetails[0].isSupplied",false,true,"❌"
"applicant.taxDetails[0].nonSupplyReasonCode","000000000",,"❌"
"applicant.isPrimaryApplicant",true,,"❌"
"applicant.entityType","Individual","Individual","✅"
"tradingProduct.type","domestic-equities","domestic-equities","✅"
"tradingProduct.canTradeWarrants",true,true,"✅"
"tradingProduct.contractNote.type","digital","digital","✅"
"tradingProduct.contractNote.generationType","day","day","✅"
"termsAndConditions.accepted",true,true,"✅"
"termsAndConditions.methodOfAcceptance","digital","digital","✅"
"termsAndConditions.timestamp","2025-03-10T10:26:07.196Z","2025-03-10T10:26:07.196Z","✅"
"settlement.details[0].accountName","Duc Pham","Duc Pham","✅"
"settlement.details[0].branchCode","182512","182512","✅"
"settlement.details[0].accountNumber","000123456789","000123456789","✅"
"settlement.details[0].usedForCredits",true,true,"✅"
"settlement.details[0].usedForDebits",true,true,"✅"
"settlement.details[0].usedForDividends",true,true,"✅"
"settlement.details[0].type","Direct_Entry_Account","Direct_Entry_Account","✅"
"settlement.nettingPolicy","net","net","✅"
"settlement.holdFunds",false,false,"✅"
"settlement.redirectDividends",true,true,"✅"
"adviser.code","uatsentadv152","uatsentadv152","✅"
"adviser.brokerageCode","AAB","S0058","❌"
"holdingDetails.hin","2397864923","2397864923","✅"
"holdingDetails.pid","01042","01042","✅"
"holdingDetails.address.addressLines","60 Saint Aubyns Road","60 Saint Aubyns Road","✅"
"holdingDetails.address.postCode","4352","4352","✅"
"holdingDetails.emailAddress","duc.pham+1302@equix.com.au","duc.pham+1302@equix.com.au","✅"
"applicant.taxDetails[0].taxIdentificationNumber",,"170219941","❌"
