"Field Name","Actual Value","Expected Value","Match Result"
"customerReferenceNumber","EQ-EQ-154-246-146-R","EQ-EQ-154-246-146-R","✅"
"status","draft","draft","✅"
"applicant.parties[0].person.title","mr","mr","✅"
"applicant.parties[0].person.firstName","Hester","Hester","✅"
"applicant.parties[0].person.middleName","Grace","Grace","✅"
"applicant.parties[0].person.lastName","Auer","Auer","✅"
"applicant.parties[0].person.residentialAddress.streetAddress","390 Hampton Street","390 Hampton Street","✅"
"applicant.parties[0].person.residentialAddress.city","HAMPTON","HAMPTON","✅"
"applicant.parties[0].person.residentialAddress.region.code","VIC","VIC","✅"
"applicant.parties[0].person.residentialAddress.postalCode","3188","3188","✅"
"applicant.parties[0].person.residentialAddress.country.code","AU","AU","✅"
"applicant.parties[0].person.postalAddress.streetAddress","390 Hampton Street","390 Hampton Street","✅"
"applicant.parties[0].person.postalAddress.city","HAMPTON","HAMPTON","✅"
"applicant.parties[0].person.postalAddress.region.code","VIC","VIC","✅"
"applicant.parties[0].person.postalAddress.postalCode","3188","3188","✅"
"applicant.parties[0].person.postalAddress.country.code","AU","AU","✅"
"applicant.parties[0].person.emailAddresses[0].type","work","work","✅"
"applicant.parties[0].person.emailAddresses[0].value","Hershel49@yahoo.com","Hershel49@yahoo.com","✅"
"applicant.parties[0].person.emailAddresses[0].isPreferred",true,true,"✅"
"applicant.parties[0].person.phoneNumbers[0].type","mobile","mobile","✅"
"applicant.parties[0].person.phoneNumbers[0].value","61427202480","61427202480","✅"
"applicant.parties[0].person.phoneNumbers[0].isPreferred",true,true,"✅"
"applicant.parties[0].person.dateOfBirth","2005-10-19","2005-10-19","✅"
"applicant.parties[0].person.gender","female","female","✅"
"applicant.parties[0].person.nationalities[0].country","AU","AU","✅"
"applicant.parties[0].person.nationalities[0].type","citizen","citizen","✅"
"applicant.parties[0].employment.category","Managers","Managers","✅"
"applicant.parties[0].employment.type","ICT Managers","ICT Managers","✅"
"applicant.parties[0].marketingOptedOut",false,false,"✅"
"applicant.parties[0].identityVerification.status","verified","verified","✅"
"applicant.parties[0].identityVerification.completionTimestamp","2025-03-10T04:16:36.230Z","2025-03-10T04:16:36.230Z","✅"
"applicant.parties[0].screeningResults.status","verified","verified","✅"
"applicant.parties[0].screeningResults.completionTimestamp","2025-03-10T04:16:36.230Z","2025-03-10T04:16:36.230Z","✅"
"applicant.parties[0].taxDetails[0].country","AU","AU","✅"
"applicant.parties[0].taxDetails[0].isSupplied",false,true,"❌"
"applicant.parties[0].taxDetails[0].nonSupplyReasonCode","000000000",,"❌"
"applicant.parties[0].entityType","Individual","Individual","✅"
"applicant.parties[1].person.title","miss","miss","✅"
"applicant.parties[1].person.firstName","Huyen","Huyen","✅"
"applicant.parties[1].person.middleName","Khanh","Khanh","✅"
"applicant.parties[1].person.lastName","Tran","Tran","✅"
"applicant.parties[1].person.residentialAddress.streetAddress","49A Watts Road","49A Watts Road","✅"
"applicant.parties[1].person.residentialAddress.city","RYDE","RYDE","✅"
"applicant.parties[1].person.residentialAddress.region.code","NSW","NSW","✅"
"applicant.parties[1].person.residentialAddress.postalCode","2112","2112","✅"
"applicant.parties[1].person.residentialAddress.country.code","AU","AU","✅"
"applicant.parties[1].person.postalAddress.streetAddress","49A Watts Road","49A Watts Road","✅"
"applicant.parties[1].person.postalAddress.city","RYDE","RYDE","✅"
"applicant.parties[1].person.postalAddress.region.code","NSW","NSW","✅"
"applicant.parties[1].person.postalAddress.postalCode","2112","2112","✅"
"applicant.parties[1].person.postalAddress.country.code","AU","AU","✅"
"applicant.parties[1].person.emailAddresses[0].type","work","work","✅"
"applicant.parties[1].person.emailAddresses[0].value","user8697@example.com","user8697@example.com","✅"
"applicant.parties[1].person.emailAddresses[0].isPreferred",true,true,"✅"
"applicant.parties[1].person.phoneNumbers[0].type","mobile","mobile","✅"
"applicant.parties[1].person.phoneNumbers[0].value","61424234234","61424234234","✅"
"applicant.parties[1].person.phoneNumbers[0].isPreferred",true,true,"✅"
"applicant.parties[1].person.dateOfBirth","1994-11-11","1994-11-11","✅"
"applicant.parties[1].person.gender","female","female","✅"
"applicant.parties[1].person.nationalities[0].country","AU","AU","✅"
"applicant.parties[1].person.nationalities[0].type","citizen","citizen","✅"
"applicant.parties[1].employment.category","Managers","Managers","✅"
"applicant.parties[1].employment.type","ICT Managers","ICT Managers","✅"
"applicant.parties[1].marketingOptedOut",false,false,"✅"
"applicant.parties[1].identityVerification.status","verified","verified","✅"
"applicant.parties[1].identityVerification.completionTimestamp","2025-03-10T04:16:36.230Z","2025-03-10T04:16:36.230Z","✅"
"applicant.parties[1].screeningResults.status","verified","verified","✅"
"applicant.parties[1].screeningResults.completionTimestamp","2025-03-10T04:16:36.230Z","2025-03-10T04:16:36.230Z","✅"
"applicant.parties[1].taxDetails[0].country","AU","AU","✅"
"applicant.parties[1].taxDetails[0].isSupplied",false,true,"❌"
"applicant.parties[1].taxDetails[0].nonSupplyReasonCode","000000000",,"❌"
"applicant.parties[1].entityType","Individual","Individual","✅"
"applicant.entityType","Joint","Joint","✅"
"tradingProduct.type","domestic-equities","domestic-equities","✅"
"tradingProduct.canTradeWarrants",true,true,"✅"
"tradingProduct.contractNote.type","digital","digital","✅"
"tradingProduct.contractNote.generationType","day","day","✅"
"termsAndConditions.accepted",true,true,"✅"
"termsAndConditions.methodOfAcceptance","digital","digital","✅"
"termsAndConditions.timestamp","2025-03-10T04:16:36.231Z","2025-03-10T04:16:36.231Z","✅"
"settlement.details[0].accountName","Personal Loan Account","Personal Loan Account","✅"
"settlement.details[0].branchCode","182512","182512","✅"
"settlement.details[0].accountNumber","115318175","115318175","✅"
"settlement.details[0].usedForCredits",true,true,"✅"
"settlement.details[0].usedForDebits",true,true,"✅"
"settlement.details[0].usedForDividends",true,true,"✅"
"settlement.details[0].type","Direct_Entry_Account","Direct_Entry_Account","✅"
"settlement.nettingPolicy","net","net","✅"
"settlement.holdFunds",false,false,"✅"
"settlement.redirectDividends",true,true,"✅"
"adviser.code","uatsentadv152","uatsentadv152","✅"
"adviser.brokerageCode","AAB","S0058","❌"
"holdingDetails.hin","312312","312312","✅"
"holdingDetails.pid","01042","01042","✅"
"holdingDetails.address.addressLines","390 Hampton Street, 49A Watts Road","390 Hampton Street, 49A Watts Road","✅"
"holdingDetails.address.postCode","3188","3188","✅"
"holdingDetails.emailAddress","Hershel49@yahoo.com","Hershel49@yahoo.com","✅"
"applicant.parties[0].taxDetails[0].taxIdentificationNumber",,"170219941","❌"
"applicant.parties[1].taxDetails[0].taxIdentificationNumber",,"170219941","❌"
