"Field Name","Actual Value","Expected Value","Match Result"
"customerReferenceNumber","EQ-EQ-722-509-267-A","EQ-EQ-722-509-267-A","✅"
"status","draft","draft","✅"
"applicant.entityType","Trust","Trust","✅"
"applicant.name","Grooo Internal","Grooo Internal","✅"
"applicant.type","self-managed-super-fund","self-managed-super-fund","✅"
"applicant.accountDesignation","0345453","0345453","✅"
"applicant.emailAddresses[0].type","work","work","✅"
"applicant.emailAddresses[0].value","huyen.tran@yahoo.com","huyen.tran@yahoo.com","✅"
"applicant.emailAddresses[0].isPreferred",true,true,"✅"
"applicant.establishmentLocation","AU","AU","✅"
"applicant.governedByTrustDeed",true,true,"✅"
"applicant.marketingOptedOut",false,false,"✅"
"applicant.industryClassification.categoryCode","A","A","✅"
"applicant.industryClassification.typeCode","01","01","✅"
"applicant.registeredAddress.streetAddress","1204/12 Executive DRIVE","1204/12 Executive DRIVE","✅"
"applicant.registeredAddress.city","BURLEIGH WATERS","BURLEIGH WATERS","✅"
"applicant.registeredAddress.region.code","QLD","QLD","✅"
"applicant.registeredAddress.postalCode","4220","4220","✅"
"applicant.registeredAddress.country.code","AU","AU","✅"
"applicant.postalAddress.streetAddress","65 Caro Road","65 Caro Road","✅"
"applicant.postalAddress.city","CATABY","CATABY","✅"
"applicant.postalAddress.region.code","WA","WA","✅"
"applicant.postalAddress.postalCode","6507","6507","✅"
"applicant.postalAddress.country.code","AU","AU","✅"
"applicant.trustees[0].person.title","miss","miss","✅"
"applicant.trustees[0].person.firstName","Huyen","Huyen","✅"
"applicant.trustees[0].person.middleName","Khanh","Khanh","✅"
"applicant.trustees[0].person.lastName","Tran","Tran","✅"
"applicant.trustees[0].person.residentialAddress.streetAddress","6789/98A Blight STREET","6789/98A Blight STREET","✅"
"applicant.trustees[0].person.residentialAddress.city","RENOWN PARK","RENOWN PARK","✅"
"applicant.trustees[0].person.residentialAddress.region.code","SA","SA","✅"
"applicant.trustees[0].person.residentialAddress.postalCode","5008","5008","✅"
"applicant.trustees[0].person.residentialAddress.country.code","AU","AU","✅"
"applicant.trustees[0].person.postalAddress.streetAddress","6789/98A Blight STREET","6789/98A Blight STREET","✅"
"applicant.trustees[0].person.postalAddress.city","RENOWN PARK","RENOWN PARK","✅"
"applicant.trustees[0].person.postalAddress.region.code","SA","SA","✅"
"applicant.trustees[0].person.postalAddress.postalCode","5008","5008","✅"
"applicant.trustees[0].person.postalAddress.country.code","AU","AU","✅"
"applicant.trustees[0].person.emailAddresses[0].type","work","work","✅"
"applicant.trustees[0].person.emailAddresses[0].value","huyen.tran@yahoo.com","huyen.tran@yahoo.com","✅"
"applicant.trustees[0].person.emailAddresses[0].isPreferred",true,true,"✅"
"applicant.trustees[0].person.phoneNumbers[0].type","mobile","mobile","✅"
"applicant.trustees[0].person.phoneNumbers[0].value","61423423889","61423423889","✅"
"applicant.trustees[0].person.phoneNumbers[0].isPreferred",true,true,"✅"
"applicant.trustees[0].person.dateOfBirth","1998-07-19","1998-07-19","✅"
"applicant.trustees[0].person.gender","female","female","✅"
"applicant.trustees[0].person.nationalities[0].country","AU","AU","✅"
"applicant.trustees[0].person.nationalities[0].type","citizen","citizen","✅"
"applicant.trustees[0].isSignatory",true,,"❌"
"applicant.trustees[0].employment.category","Managers","Managers","✅"
"applicant.trustees[0].employment.type","ICT Managers","ICT Managers","✅"
"applicant.trustees[0].marketingOptedOut",false,false,"✅"
"applicant.trustees[0].identityVerification.status","verified","verified","✅"
"applicant.trustees[0].identityVerification.completionTimestamp","2025-03-07T06:55:01.734Z","2025-03-07T06:55:01.734Z","✅"
"applicant.trustees[0].screeningResults.status","verified","verified","✅"
"applicant.trustees[0].screeningResults.completionTimestamp","2025-03-07T06:55:01.734Z","2025-03-07T06:55:01.734Z","✅"
"applicant.trustees[0].taxDetails[0].country","AU","AU","✅"
"applicant.trustees[0].taxDetails[0].isSupplied",false,true,"❌"
"applicant.trustees[0].taxDetails[0].nonSupplyReasonCode","000000000",,"❌"
"applicant.trustees[0].isPrimaryApplicant",true,,"❌"
"applicant.trustees[0].entityType","Individual","Individual","✅"
"applicant.beneficiaryDetails[0].person.title","miss","miss","✅"
"applicant.beneficiaryDetails[0].person.firstName","Huyen","Huyen","✅"
"applicant.beneficiaryDetails[0].person.middleName","Khanh","Khanh","✅"
"applicant.beneficiaryDetails[0].person.lastName","Tran","Tran","✅"
"applicant.beneficiaryDetails[0].person.residentialAddress.streetAddress","6789/98A Blight STREET","6789/98A Blight STREET","✅"
"applicant.beneficiaryDetails[0].person.residentialAddress.city","RENOWN PARK","RENOWN PARK","✅"
"applicant.beneficiaryDetails[0].person.residentialAddress.region.code","SA","SA","✅"
"applicant.beneficiaryDetails[0].person.residentialAddress.postalCode","5008","5008","✅"
"applicant.beneficiaryDetails[0].person.residentialAddress.country.code","AU","AU","✅"
"applicant.beneficiaryDetails[0].person.postalAddress.streetAddress","6789/98A Blight STREET","6789/98A Blight STREET","✅"
"applicant.beneficiaryDetails[0].person.postalAddress.city","RENOWN PARK","RENOWN PARK","✅"
"applicant.beneficiaryDetails[0].person.postalAddress.region.code","SA","SA","✅"
"applicant.beneficiaryDetails[0].person.postalAddress.postalCode","5008","5008","✅"
"applicant.beneficiaryDetails[0].person.postalAddress.country.code","AU","AU","✅"
"applicant.beneficiaryDetails[0].person.emailAddresses[0].type","work","work","✅"
"applicant.beneficiaryDetails[0].person.emailAddresses[0].value","huyen.tran@yahoo.com","huyen.tran@yahoo.com","✅"
"applicant.beneficiaryDetails[0].person.emailAddresses[0].isPreferred",true,true,"✅"
"applicant.beneficiaryDetails[0].person.phoneNumbers[0].type","mobile","mobile","✅"
"applicant.beneficiaryDetails[0].person.phoneNumbers[0].value","61423423889","61423423889","✅"
"applicant.beneficiaryDetails[0].person.phoneNumbers[0].isPreferred",true,true,"✅"
"applicant.beneficiaryDetails[0].person.dateOfBirth","1998-07-19","1998-07-19","✅"
"applicant.beneficiaryDetails[0].person.gender","female","female","✅"
"applicant.beneficiaryDetails[0].person.nationalities[0].country","AU","AU","✅"
"applicant.beneficiaryDetails[0].person.nationalities[0].type","citizen","citizen","✅"
"applicant.beneficiaryDetails[0].isSignatory",true,,"❌"
"applicant.beneficiaryDetails[0].employment.category","Managers","Managers","✅"
"applicant.beneficiaryDetails[0].employment.type","ICT Managers","ICT Managers","✅"
"applicant.beneficiaryDetails[0].marketingOptedOut",false,false,"✅"
"applicant.beneficiaryDetails[0].identityVerification.status","verified",,"❌"
"applicant.beneficiaryDetails[0].identityVerification.completionTimestamp","2025-03-07T06:55:01.734Z",,"❌"
"applicant.beneficiaryDetails[0].screeningResults.status","verified","verified","✅"
"applicant.beneficiaryDetails[0].screeningResults.completionTimestamp","2025-03-07T06:55:01.734Z","2025-03-07T06:55:01.734Z","✅"
"applicant.beneficiaryDetails[0].taxDetails[0].country","AU","AU","✅"
"applicant.beneficiaryDetails[0].taxDetails[0].isSupplied",false,true,"❌"
"applicant.beneficiaryDetails[0].taxDetails[0].nonSupplyReasonCode","000000000",,"❌"
"applicant.beneficiaryDetails[0].isPrimaryApplicant",true,,"❌"
"applicant.beneficiaryDetails[0].entityType","trust-beneficiary-individual","trust-beneficiary-individual","✅"
"applicant.beneficiaryDetails[0].isBeneficialOwner",false,false,"✅"
"applicant.identityVerification.status","verified","verified","✅"
"applicant.identityVerification.completionTimestamp","2025-03-07T06:55:01.734Z","2025-03-07T06:55:01.734Z","✅"
"applicant.screeningResults.status","verified","verified","✅"
"applicant.screeningResults.completionTimestamp","2025-03-07T06:55:01.734Z","2025-03-07T06:55:01.734Z","✅"
"applicant.settlor.isDeceased",false,false,"✅"
"applicant.settlor.assetContributionIsImmaterial",true,false,"❌"
"tradingProduct.type","domestic-equities","domestic-equities","✅"
"tradingProduct.canTradeWarrants",true,true,"✅"
"tradingProduct.contractNote.type","digital","digital","✅"
"tradingProduct.contractNote.generationType","day","day","✅"
"termsAndConditions.accepted",true,true,"✅"
"termsAndConditions.methodOfAcceptance","digital","digital","✅"
"termsAndConditions.timestamp","2025-03-07T06:53:44.086Z","2025-03-07T06:53:44.086Z","✅"
"settlement.details[0].accountName","Huyen Khanh Tran - Duc Van Pham - Van Anh Nguyen","Huyen Khanh Tran - Duc Van Pham - Van Anh Nguyen","✅"
"settlement.details[0].branchCode","182512","182512","✅"
"settlement.details[0].accountNumber","000123456789","000123456789","✅"
"settlement.details[0].usedForCredits",true,true,"✅"
"settlement.details[0].usedForDebits",true,true,"✅"
"settlement.details[0].usedForDividends",true,true,"✅"
"settlement.details[0].type","Direct_Entry_Account","Direct_Entry_Account","✅"
"settlement.nettingPolicy","net","net","✅"
"settlement.holdFunds",false,false,"✅"
"settlement.redirectDividends",true,true,"✅"
"adviser.code","uatsentadv152","uatsentadv152","✅"
"adviser.brokerageCode","AAB","B002","❌"
"holdingDetails.hin","24234","24234","✅"
"holdingDetails.pid","01042","01042","✅"
"holdingDetails.address.addressLines","6789/98A Blight STREET, 34 Lloyd Street, 65 Caro Road","6789/98A Blight STREET, 34 Lloyd Street, 65 Caro Road","✅"
"holdingDetails.address.postCode","6507","6507","✅"
"holdingDetails.emailAddress","huyen.tran@yahoo.com","huyen.tran@yahoo.com","✅"
"applicant.abn",,"21623914910","❌"
"applicant.trustees[1].identityVerification.status",,"verified","❌"
"applicant.trustees[2].identityVerification.status",,"verified","❌"
"applicant.trustees[1].identityVerification.completionTimestamp",,"2025-03-07T06:55:01.734Z","❌"
"applicant.trustees[2].identityVerification.completionTimestamp",,"2025-03-07T06:55:01.734Z","❌"
"applicant.trustees[1].screeningResults.status",,"verified","❌"
"applicant.trustees[2].screeningResults.status",,"verified","❌"
"applicant.trustees[1].screeningResults.completionTimestamp",,"2025-03-07T06:55:01.734Z","❌"
"applicant.trustees[2].screeningResults.completionTimestamp",,"2025-03-07T06:55:01.734Z","❌"
"applicant.trustees[1].entityType",,"Individual","❌"
"applicant.trustees[2].entityType",,"Individual","❌"
"applicant.trustees[1].person.title",,"mr","❌"
"applicant.trustees[2].person.title",,"miss","❌"
"applicant.trustees[1].person.firstName",,"Duc","❌"
"applicant.trustees[2].person.firstName",,"Van","❌"
"applicant.trustees[1].person.middleName",,"Van","❌"
"applicant.trustees[2].person.middleName",,"Anh","❌"
"applicant.trustees[1].person.lastName",,"Pham","❌"
"applicant.trustees[2].person.lastName",,"Nguyen","❌"
"applicant.trustees[1].person.residentialAddress.streetAddress",,"34 Lloyd Street","❌"
"applicant.trustees[2].person.residentialAddress.streetAddress",,"65 Caro Road","❌"
"applicant.trustees[1].person.residentialAddress.city",,"DIMBOOLA","❌"
"applicant.trustees[2].person.residentialAddress.city",,"CATABY","❌"
"applicant.trustees[1].person.residentialAddress.region.code",,"VIC","❌"
"applicant.trustees[2].person.residentialAddress.region.code",,"WA","❌"
"applicant.trustees[1].person.residentialAddress.postalCode",,"3414","❌"
"applicant.trustees[2].person.residentialAddress.postalCode",,"6507","❌"
"applicant.trustees[1].person.residentialAddress.country.code",,"AU","❌"
"applicant.trustees[2].person.residentialAddress.country.code",,"AU","❌"
"applicant.trustees[1].person.postalAddress.streetAddress",,"34 Lloyd Street","❌"
"applicant.trustees[2].person.postalAddress.streetAddress",,"65 Caro Road","❌"
"applicant.trustees[1].person.postalAddress.city",,"DIMBOOLA","❌"
"applicant.trustees[2].person.postalAddress.city",,"CATABY","❌"
"applicant.trustees[1].person.postalAddress.region.code",,"VIC","❌"
"applicant.trustees[2].person.postalAddress.region.code",,"WA","❌"
"applicant.trustees[1].person.postalAddress.postalCode",,"3414","❌"
"applicant.trustees[2].person.postalAddress.postalCode",,"6507","❌"
"applicant.trustees[1].person.postalAddress.country.code",,"AU","❌"
