"Field Name","Actual Value","Expected Value","Match Result"
"applicant.trustees[0].role","DIRECTOR",,"❌"
"applicant.trustees[0].isCompanyBeneficialOwner",false,,"❌"
"applicant.trustees[0].isTrustBeneficialOwner",true,,"❌"
"applicant.trustees[0].isTrustBeneficiary",true,,"❌"
"applicant.trustees[0].isSignatory",true,,"❌"
"applicant.trustees[0].isPrimaryApplicant",true,,"❌"
"applicant.trustees[1].role","DIRECTOR",,"❌"
"applicant.trustees[1].isCompanyBeneficialOwner",false,,"❌"
"applicant.trustees[1].isTrustBeneficialOwner",true,,"❌"
"applicant.trustees[1].isTrustBeneficiary",true,,"❌"
"applicant.trustees[1].isSignatory",true,,"❌"
"applicant.beneficiaryDetails[0].role","DIRECTOR",,"❌"
"applicant.beneficiaryDetails[0].isCompanyBeneficialOwner",false,,"❌"
"applicant.beneficiaryDetails[0].isSignatory",true,,"❌"
"applicant.beneficiaryDetails[0].identityVerification.status","verified",,"❌"
"applicant.beneficiaryDetails[0].identityVerification.completionTimestamp","2025-03-07T06:44:40.564Z",,"❌"
"applicant.beneficiaryDetails[0].isPrimaryApplicant",true,,"❌"
"applicant.beneficiaryDetails[1].role","DIRECTOR",,"❌"
"applicant.beneficiaryDetails[1].isCompanyBeneficialOwner",false,,"❌"
"applicant.beneficiaryDetails[1].isSignatory",true,,"❌"
"applicant.beneficiaryDetails[1].identityVerification.status","verified",,"❌"
"applicant.beneficiaryDetails[1].identityVerification.completionTimestamp","2025-03-07T06:44:40.564Z",,"❌"
"applicant.settlor.name.title","mr",,"❌"
"applicant.settlor.name.firstName","Duc",,"❌"
"applicant.settlor.name.middleName","Van",,"❌"
"applicant.settlor.name.lastName","Pham",,"❌"
